date_spent,total_amount,weekend,holiday,holiday_name,has_spend,spend_freq_7d,spend_freq_14d,spend_freq_30d,borrowed_money
2025-08-06,120.0,0,0,,1,1.0,1.0,1.0,0
2025-08-07,120.0,0,0,,1,1.0,1.0,1.0,0
2025-08-08,120.0,0,0,,1,1.0,1.0,1.0,0
2025-08-09,120.0,0,0,,1,1.0,1.0,1.0,0
2025-08-10,45.0,1,0,,1,1.0,1.0,1.0,0
2025-08-11,110.0,0,0,,1,1.0,1.0,1.0,0
2025-08-12,120.0,0,0,,1,1.0,1.0,1.0,0
2025-08-13,120.0,0,0,,1,1.0,1.0,1.0,0
2025-08-14,135.0,0,0,,1,1.0,1.0,1.0,0
2025-08-15,135.0,0,0,,1,1.0,1.0,1.0,0
2025-08-16,135.0,0,0,,1,1.0,1.0,1.0,0
2025-08-17,0.0,1,0,,0,0.8571428571428571,0.9166666666666666,0.9166666666666666,0
2025-08-18,0.0,0,0,,0,0.7142857142857143,0.8461538461538461,0.8461538461538461,1
2025-08-19,0.0,0,0,,0,0.5714285714285714,0.7857142857142857,0.7857142857142857,1
2025-08-20,0.0,0,0,,0,0.42857142857142855,0.7142857142857143,0.7333333333333333,1
2025-08-21,0.0,0,1,Ninoy Aquino Day,0,0.2857142857142857,0.6428571428571429,0.6875,0
2025-08-22,70.0,0,0,,1,0.2857142857142857,0.6428571428571429,0.7058823529411765,0
2025-08-23,230.0,0,0,,1,0.2857142857142857,0.6428571428571429,0.7222222222222222,0
2025-08-24,0.0,1,0,,0,0.2857142857142857,0.5714285714285714,0.6842105263157895,0
2025-08-25,20.0,0,1,National Heroes Day,1,0.42857142857142855,0.5714285714285714,0.7,0
2025-08-26,120.0,0,0,,1,0.5714285714285714,0.5714285714285714,0.7142857142857143,0
2025-08-27,50.0,0,0,,1,0.7142857142857143,0.5714285714285714,0.7272727272727273,0
2025-08-28,0.0,0,0,,0,0.7142857142857143,0.5,0.6956521739130435,1
2025-08-29,0.0,0,0,,0,0.5714285714285714,0.42857142857142855,0.6666666666666666,1
2025-08-30,85.0,0,0,,1,0.5714285714285714,0.42857142857142855,0.68,0
2025-08-31,0.0,1,0,,0,0.5714285714285714,0.42857142857142855,0.6538461538461539,0
2025-09-01,135.0,0,0,,1,0.5714285714285714,0.5,0.6666666666666666,0
2025-09-02,185.0,0,0,,1,0.5714285714285714,0.5714285714285714,0.6785714285714286,0
2025-09-03,135.0,0,0,,1,0.5714285714285714,0.6428571428571429,0.6896551724137931,0
2025-09-04,135.0,0,0,,1,0.7142857142857143,0.7142857142857143,0.7,0
2025-09-05,135.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7,0
2025-09-06,160.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7,0
2025-09-07,0.0,1,0,,0,0.8571428571428571,0.7142857142857143,0.6666666666666666,0
2025-09-08,135.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.6666666666666666,0
2025-09-09,135.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.6666666666666666,0
2025-09-10,135.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.6666666666666666,0
2025-09-11,135.0,0,0,,1,0.8571428571428571,0.7857142857142857,0.6666666666666666,0
2025-09-12,135.0,0,0,,1,0.8571428571428571,0.8571428571428571,0.6666666666666666,0
2025-09-13,155.0,0,0,,1,0.8571428571428571,0.8571428571428571,0.6666666666666666,0
2025-09-14,0.0,1,0,,0,0.8571428571428571,0.8571428571428571,0.6333333333333333,0
2025-09-15,135.0,0,0,,1,0.8571428571428571,0.8571428571428571,0.6333333333333333,0
2025-09-16,0.0,0,0,,0,0.7142857142857143,0.7857142857142857,0.6333333333333333,1
2025-09-17,0.0,0,0,,0,0.5714285714285714,0.7142857142857143,0.6333333333333333,1
2025-09-18,150.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.6666666666666666,0
2025-09-19,135.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.7,0
2025-09-20,120.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.7333333333333333,0
2025-09-21,135.0,1,0,,1,0.7142857142857143,0.7857142857142857,0.7333333333333333,0
2025-09-22,0.0,0,0,,0,0.5714285714285714,0.7142857142857143,0.7,1
2025-09-23,135.0,0,0,,1,0.7142857142857143,0.7142857142857143,0.7333333333333333,0
2025-09-24,119.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7333333333333333,0
2025-09-25,30.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7333333333333333,0
2025-09-26,140.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7333333333333333,0
2025-09-27,120.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7666666666666667,0
2025-09-28,0.0,1,0,,0,0.7142857142857143,0.7142857142857143,0.7666666666666667,0
2025-09-29,135.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7666666666666667,0
2025-09-30,165.0,0,0,,1,0.8571428571428571,0.7857142857142857,0.8,0
2025-10-01,135.0,0,0,,1,0.8571428571428571,0.8571428571428571,0.8,0
2025-10-02,100.0,0,0,,1,0.8571428571428571,0.8571428571428571,0.8,0
2025-10-03,0.0,0,0,,0,0.7142857142857143,0.7857142857142857,0.7666666666666667,1
2025-10-04,0.0,0,0,,0,0.5714285714285714,0.7142857142857143,0.7333333333333333,1
2025-10-05,0.0,1,0,,0,0.5714285714285714,0.6428571428571429,0.7,0
2025-10-06,20.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.7,0
2025-10-07,120.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.7333333333333333,0
2025-10-08,135.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.7333333333333333,0
2025-10-09,135.0,0,0,,1,0.5714285714285714,0.7142857142857143,0.7333333333333333,0
2025-10-10,135.0,0,0,,1,0.7142857142857143,0.7142857142857143,0.7333333333333333,0
2025-10-11,50.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7333333333333333,0
2025-10-12,0.0,1,0,,0,0.8571428571428571,0.7142857142857143,0.7,0
2025-10-13,135.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7,0
2025-10-14,180.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7333333333333333,0
2025-10-15,85.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7333333333333333,0
2025-10-16,130.0,0,0,,1,0.8571428571428571,0.7142857142857143,0.7666666666666667,0
2025-10-17,125.0,0,0,,1,0.8571428571428571,0.7857142857142857,0.8,0
2025-10-18,40.0,0,0,,1,0.8571428571428571,0.8571428571428571,0.8,0
2025-10-19,0.0,1,0,,0,0.8571428571428571,0.8571428571428571,0.7666666666666667,0
2025-10-20,0.0,0,0,,0,0.7142857142857143,0.7857142857142857,0.7333333333333333,1
2025-10-21,0.0,0,0,,0,0.5714285714285714,0.7142857142857143,0.7,1
2025-10-22,0.0,0,0,,0,0.42857142857142855,0.6428571428571429,0.7,1
2025-10-23,135.0,0,0,,1,0.42857142857142855,0.6428571428571429,0.7,0
2025-10-24,135.0,0,0,,1,0.42857142857142855,0.6428571428571429,0.7,0
2025-10-25,135.0,0,0,,1,0.42857142857142855,0.6428571428571429,0.7,0
2025-10-26,0.0,1,0,,0,0.42857142857142855,0.6428571428571429,0.6666666666666666,0
